Frequency (GHz)	DB(|S(2,1)|) : PI_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
0	-0.000982103	-0.00108652
0.01	-0.00491651	-0.00132723
0.02	-0.00877667	-0.00204814
0.03	-0.0129555	-0.00324697
0.04	-0.0174733	-0.0049209
0.05	-0.0223223	-0.00706653
0.06	-0.0274932	-0.00967995
0.07	-0.03298	-0.0127567
0.08	-0.0387799	-0.0162919
0.09	-0.0448909	-0.0202799
0.1	-0.0513107	-0.0247148
0.11	-0.0580362	-0.0295902
0.12	-0.0650633	-0.0348991
0.13	-0.0723866	-0.040634
0.14	-0.0799998	-0.0467871
0.15	-0.0878955	-0.0533499
0.16	-0.0960656	-0.0603137
0.17	-0.104501	-0.0676691
0.18	-0.113193	-0.0754064
0.19	-0.122131	-0.0835155
0.2	-0.131304	-0.0919857
0.21	-0.140702	-0.100806
0.22	-0.150313	-0.109965
0.23	-0.160125	-0.119451
0.24	-0.170127	-0.129251
0.25	-0.180306	-0.139352
0.26	-0.19065	-0.149743
0.27	-0.201146	-0.160408
0.28	-0.211782	-0.171334
0.29	-0.222543	-0.182507
0.3	-0.233418	-0.193912
0.31	-0.244392	-0.205533
0.32	-0.255453	-0.217356
0.33	-0.266587	-0.229365
0.34	-0.27778	-0.241542
0.35	-0.289021	-0.253873
0.36	-0.300294	-0.266339
0.37	-0.311587	-0.278924
0.38	-0.322886	-0.291611
0.39	-0.334179	-0.304381
0.4	-0.345453	-0.317216
0.41	-0.356693	-0.330098
0.42	-0.367888	-0.34301
0.43	-0.379025	-0.355931
0.44	-0.390092	-0.368843
0.45	-0.401076	-0.381728
0.46	-0.411964	-0.394566
0.47	-0.422746	-0.407338
0.48	-0.43341	-0.420025
0.49	-0.443944	-0.432607
0.5	-0.454337	-0.445065
0.51	-0.464578	-0.457381
0.52	-0.474657	-0.469535
0.53	-0.484563	-0.481509
0.54	-0.494286	-0.493283
0.55	-0.503817	-0.504839
0.56	-0.513147	-0.516159
0.57	-0.522266	-0.527225
0.58	-0.531165	-0.53802
0.59	-0.539837	-0.548527
0.6	-0.548273	-0.558728
0.61	-0.556465	-0.568609
0.62	-0.564407	-0.578153
0.63	-0.572091	-0.587368
0.64	-0.579511	-0.59626
0.65	-0.586661	-0.604817
0.66	-0.593534	-0.613026
0.67	-0.600126	-0.620875
0.68	-0.606431	-0.628352
0.69	-0.612445	-0.635448
0.7	-0.618164	-0.64215
0.71	-0.623583	-0.648449
0.72	-0.628699	-0.654336
0.73	-0.63351	-0.659802
0.74	-0.638012	-0.66484
0.75	-0.642203	-0.669442
0.76	-0.646082	-0.673603
0.77	-0.649646	-0.677317
0.78	-0.652896	-0.68058
0.79	-0.65583	-0.683388
0.8	-0.658448	-0.685739
0.81	-0.660751	-0.687633
0.82	-0.662738	-0.689067
0.83	-0.664411	-0.690043
0.84	-0.665772	-0.690564
0.85	-0.666821	-0.690631
0.86	-0.667562	-0.690249
0.87	-0.667997	-0.689423
0.88	-0.668129	-0.688159
0.89	-0.667961	-0.686465
0.9	-0.667497	-0.68435
0.91	-0.666741	-0.681823
0.92	-0.665698	-0.678894
0.93	-0.664373	-0.675577
0.94	-0.662771	-0.671884
0.95	-0.660898	-0.667828
0.96	-0.65876	-0.663426
0.97	-0.656363	-0.658692
0.98	-0.653714	-0.653645
0.99	-0.650821	-0.648302
1	-0.64769	-0.642682
1.01	-0.64433	-0.636803
1.02	-0.640748	-0.630688
1.03	-0.636954	-0.624355
1.04	-0.632956	-0.617828
1.05	-0.628762	-0.611127
1.06	-0.624384	-0.604276
1.07	-0.619829	-0.597297
1.08	-0.615109	-0.590213
1.09	-0.610233	-0.583049
1.1	-0.605212	-0.575826
1.11	-0.600056	-0.568569
1.12	-0.594776	-0.561302
1.13	-0.589385	-0.554048
1.14	-0.583892	-0.54683
1.15	-0.578309	-0.53967
1.16	-0.572648	-0.532593
1.17	-0.566921	-0.525619
1.18	-0.56114	-0.518771
1.19	-0.555317	-0.512069
1.2	-0.549463	-0.505534
1.21	-0.543591	-0.499186
1.22	-0.537713	-0.493042
1.23	-0.531842	-0.487121
1.24	-0.525989	-0.48144
1.25	-0.520167	-0.476015
1.26	-0.514388	-0.470839
1.27	-0.508664	-0.465908
1.28	-0.503006	-0.461235
1.29	-0.497428	-0.456832
1.3	-0.49194	-0.45271
1.31	-0.486555	-0.448879
1.32	-0.481283	-0.445348
1.33	-0.476135	-0.442126
1.34	-0.471123	-0.43922
1.35	-0.466257	-0.436635
1.36	-0.461548	-0.434376
1.37	-0.457005	-0.432447
1.38	-0.452638	-0.43085
1.39	-0.448456	-0.429586
1.4	-0.444469	-0.428655
1.41	-0.440684	-0.428056
1.42	-0.43711	-0.427787
1.43	-0.433754	-0.427843
1.44	-0.430624	-0.428221
1.45	-0.427725	-0.428915
1.46	-0.425064	-0.429917
1.47	-0.422646	-0.431219
1.48	-0.420477	-0.432813
1.49	-0.41856	-0.434688
1.5	-0.416899	-0.436834
1.51	-0.415498	-0.439239
1.52	-0.414358	-0.44189
1.53	-0.413482	-0.444774
1.54	-0.412871	-0.447877
1.55	-0.412525	-0.451184
1.56	-0.412445	-0.454681
1.57	-0.412629	-0.458352
1.58	-0.413076	-0.462181
1.59	-0.413784	-0.466152
1.6	-0.414751	-0.470248
1.61	-0.415973	-0.474455
1.62	-0.417445	-0.478755
1.63	-0.419164	-0.483132
1.64	-0.421124	-0.487571
1.65	-0.423319	-0.492057
1.66	-0.425743	-0.496574
1.67	-0.428389	-0.501108
1.68	-0.431248	-0.505646
1.69	-0.434313	-0.510176
1.7	-0.437576	-0.514685
1.71	-0.441026	-0.519162
1.72	-0.444655	-0.5236
1.73	-0.448452	-0.527989
1.74	-0.452407	-0.532324
1.75	-0.456509	-0.536599
1.76	-0.460746	-0.540812
1.77	-0.465108	-0.544961
1.78	-0.469582	-0.549048
1.79	-0.474157	-0.553076
1.8	-0.47882	-0.557051
1.81	-0.483558	-0.560981
1.82	-0.488361	-0.564877
1.83	-0.493214	-0.568753
1.84	-0.498106	-0.572626
1.85	-0.503023	-0.576516
1.86	-0.507954	-0.580447
1.87	-0.512887	-0.584445
1.88	-0.517808	-0.588588
1.89	-0.522707	-0.592957
1.9	-0.527572	-0.597586
1.91	-0.532391	-0.602515
1.92	-0.537154	-0.607784
1.93	-0.541851	-0.613438
1.94	-0.546471	-0.619524
1.95	-0.551006	-0.626093
1.96	-0.555447	-0.633201
1.97	-0.559786	-0.640908
1.98	-0.564016	-0.649276
1.99	-0.568131	-0.658376
2	-0.572126	-0.668281
2.01	-0.575997	-0.679071
2.02	-0.579741	-0.690832
2.03	-0.583355	-0.703656
2.04	-0.586839	-0.717641
2.05	-0.590193	-0.732892
2.06	-0.59342	-0.749519
2.07	-0.596524	-0.76764
2.08	-0.599509	-0.78738
2.09	-0.602382	-0.808868
2.1	-0.605152	-0.832241
2.11	-0.60783	-0.85764
2.12	-0.610427	-0.885214
2.13	-0.612959	-0.915113
2.14	-0.615442	-0.947492
2.15	-0.617895	-0.982509
2.16	-0.62034	-1.02033
2.17	-0.622801	-1.0611
2.18	-0.625303	-1.10499
2.19	-0.627877	-1.15221
2.2	-0.630554	-1.20293
2.21	-0.633369	-1.25731
2.22	-0.63636	-1.31549
2.23	-0.639568	-1.37759
2.24	-0.643037	-1.44374
2.25	-0.646815	-1.51404
2.26	-0.650953	-1.58859
2.27	-0.655504	-1.66747
2.28	-0.660527	-1.75075
2.29	-0.666083	-1.83848
2.3	-0.672236	-1.93069
2.31	-0.679056	-2.02739
2.32	-0.686613	-2.1286
2.33	-0.694985	-2.23428
2.34	-0.704249	-2.34441
2.35	-0.714488	-2.45894
2.36	-0.725789	-2.5778
2.37	-0.738239	-2.70091
2.38	-0.751933	-2.82816
2.39	-0.766964	-2.95945
2.4	-0.78343	-3.09466
2.41	-0.801432	-3.23364
2.42	-0.821072	-3.37626
2.43	-0.842453	-3.52236
2.44	-0.865682	-3.67177
2.45	-0.890864	-3.82434
2.46	-0.918106	-3.9799
2.47	-0.947516	-4.13825
2.48	-0.979198	-4.29925
2.49	-1.01326	-4.4627
2.5	-1.0498	-4.62843
2.51	-1.08893	-4.79631
2.52	-1.13074	-4.96618
2.53	-1.17532	-5.13788
2.54	-1.22277	-5.31125
2.55	-1.27317	-5.48613
2.56	-1.3266	-5.66236
2.57	-1.38313	-5.83979
2.58	-1.44284	-6.01829
2.59	-1.50578	-6.1977
2.6	-1.572	-6.3779
2.61	-1.64155	-6.55876
2.62	-1.71445	-6.74015
2.63	-1.79075	-6.92197
2.64	-1.87044	-7.1041
2.65	-1.95355	-7.28643
2.66	-2.04006	-7.46888
2.67	-2.12997	-7.65136
2.68	-2.22325	-7.83376
2.69	-2.31987	-8.01602
2.7	-2.41979	-8.19807
2.71	-2.52297	-8.37982
2.72	-2.62934	-8.56122
2.73	-2.73884	-8.74221
2.74	-2.8514	-8.92273
2.75	-2.96694	-9.10273
2.76	-3.08537	-9.28216
2.77	-3.20661	-9.46099
2.78	-3.33055	-9.63916
2.79	-3.45709	-9.81665
2.8	-3.58613	-9.99342
2.81	-3.71756	-10.1694
2.82	-3.85127	-10.3447
2.83	-3.98715	-10.5191
2.84	-4.12508	-10.6927
2.85	-4.26495	-10.8655
2.86	-4.40664	-11.0374
2.87	-4.55005	-11.2084
2.88	-4.69505	-11.3785
2.89	-4.84154	-11.5477
2.9	-4.98939	-11.7159
2.91	-5.13852	-11.8832
2.92	-5.2888	-12.0496
2.93	-5.44013	-12.2149
2.94	-5.59241	-12.3793
2.95	-5.74555	-12.5427
2.96	-5.89944	-12.7051
2.97	-6.054	-12.8664
2.98	-6.20913	-13.0268
2.99	-6.36475	-13.1861
3	-6.52078	-13.3443
3.01	-6.67713	-13.5015
3.02	-6.83374	-13.6577
3.03	-6.99052	-13.8127
3.04	-7.14741	-13.9667
3.05	-7.30435	-14.1195
3.06	-7.46127	-14.2713
3.07	-7.61811	-14.4219
3.08	-7.77481	-14.5714
3.09	-7.93133	-14.7198
3.1	-8.0876	-14.867
3.11	-8.24359	-15.013
3.12	-8.39925	-15.1579
3.13	-8.55454	-15.3016
3.14	-8.70941	-15.4441
3.15	-8.86383	-15.5855
3.16	-9.01777	-15.7257
3.17	-9.17119	-15.8648
3.18	-9.32405	-16.0027
3.19	-9.47634	-16.1395
3.2	-9.62803	-16.275
3.21	-9.77909	-16.4095
3.22	-9.92949	-16.5427
3.23	-10.0792	-16.6748
3.24	-10.2283	-16.8057
3.25	-10.3766	-16.9355
3.26	-10.5242	-17.0641
3.27	-10.671	-17.1916
3.28	-10.8171	-17.3179
3.29	-10.9624	-17.443
3.3	-11.1069	-17.567
3.31	-11.2507	-17.6899
3.32	-11.3936	-17.8116
3.33	-11.5357	-17.9322
3.34	-11.677	-18.0517
3.35	-11.8174	-18.17
3.36	-11.957	-18.2873
3.37	-12.0958	-18.4034
3.38	-12.2337	-18.5184
3.39	-12.3708	-18.6324
3.4	-12.507	-18.7452
3.41	-12.6423	-18.857
3.42	-12.7768	-18.9677
3.43	-12.9104	-19.0774
3.44	-13.0432	-19.186
3.45	-13.175	-19.2936
3.46	-13.306	-19.4002
3.47	-13.4361	-19.5058
3.48	-13.5654	-19.6104
3.49	-13.6938	-19.714
3.5	-13.8213	-19.8166
3.51	-13.9479	-19.9183
