Frequency (GHz)	DB(|S(2,1)|) : t_network_lpf	DB(|S(2,1)|) : EM_Extract_Doc
0	-0.00453816	-0.00470379
0.01	-0.00828972	-0.00499917
0.02	-0.0119067	-0.00588469
0.03	-0.0158461	-0.00735833
0.04	-0.0200759	-0.0094167
0.05	-0.0245405	-0.012055
0.06	-0.0292048	-0.0152671
0.07	-0.034055	-0.0190455
0.08	-0.039091	-0.0233814
0.09	-0.0443188	-0.0282646
0.1	-0.049746	-0.0336838
0.11	-0.055379	-0.0396265
0.12	-0.0612225	-0.0460789
0.13	-0.0672789	-0.0530261
0.14	-0.0735484	-0.0604522
0.15	-0.0800296	-0.0683403
0.16	-0.0867197	-0.0766726
0.17	-0.0936143	-0.0854301
0.18	-0.100708	-0.0945933
0.19	-0.107995	-0.104142
0.2	-0.115469	-0.114054
0.21	-0.123121	-0.124309
0.22	-0.130943	-0.134885
0.23	-0.138928	-0.145757
0.24	-0.147066	-0.156903
0.25	-0.155348	-0.1683
0.26	-0.163764	-0.179923
0.27	-0.172305	-0.191749
0.28	-0.18096	-0.203752
0.29	-0.189719	-0.215909
0.3	-0.198571	-0.228195
0.31	-0.207506	-0.240585
0.32	-0.216512	-0.253055
0.33	-0.225579	-0.265581
0.34	-0.234696	-0.278138
0.35	-0.24385	-0.290703
0.36	-0.253032	-0.303253
0.37	-0.262229	-0.315764
0.38	-0.27143	-0.328213
0.39	-0.280625	-0.340578
0.4	-0.289801	-0.352837
0.41	-0.298947	-0.364969
0.42	-0.308052	-0.376953
0.43	-0.317106	-0.388768
0.44	-0.326097	-0.400396
0.45	-0.335013	-0.411817
0.46	-0.343845	-0.423014
0.47	-0.352582	-0.433968
0.48	-0.361213	-0.444662
0.49	-0.369728	-0.455082
0.5	-0.378117	-0.465211
0.51	-0.38637	-0.475036
0.52	-0.394478	-0.484541
0.53	-0.402431	-0.493716
0.54	-0.41022	-0.502547
0.55	-0.417837	-0.511024
0.56	-0.425272	-0.519137
0.57	-0.432517	-0.526875
0.58	-0.439566	-0.53423
0.59	-0.446409	-0.541195
0.6	-0.45304	-0.547763
0.61	-0.459452	-0.553928
0.62	-0.465638	-0.559684
0.63	-0.471592	-0.565049
0.64	-0.477309	-0.570037
0.65	-0.482782	-0.574643
0.66	-0.488007	-0.578864
0.67	-0.492978	-0.582694
0.68	-0.497693	-0.586129
0.69	-0.502146	-0.589166
0.7	-0.506335	-0.591802
0.71	-0.510256	-0.594033
0.72	-0.513906	-0.595859
0.73	-0.517285	-0.597276
0.74	-0.520389	-0.598286
0.75	-0.523217	-0.598887
0.76	-0.525769	-0.599082
0.77	-0.528045	-0.598872
0.78	-0.530043	-0.598262
0.79	-0.531765	-0.597254
0.8	-0.533212	-0.595856
0.81	-0.534385	-0.594074
0.82	-0.535286	-0.591916
0.83	-0.535917	-0.589391
0.84	-0.536281	-0.586512
0.85	-0.536381	-0.58329
0.86	-0.536221	-0.579739
0.87	-0.535805	-0.575874
0.88	-0.535137	-0.571711
0.89	-0.534223	-0.567268
0.9	-0.533068	-0.562563
0.91	-0.531679	-0.557617
0.92	-0.53006	-0.552449
0.93	-0.52822	-0.547083
0.94	-0.526165	-0.541518
0.95	-0.523903	-0.535762
0.96	-0.521442	-0.529846
0.97	-0.518791	-0.523802
0.98	-0.515959	-0.517665
0.99	-0.512954	-0.511467
1	-0.509786	-0.505243
1.01	-0.506466	-0.499024
1.02	-0.503003	-0.492845
1.03	-0.499409	-0.486737
1.04	-0.495694	-0.48073
1.05	-0.49187	-0.474855
1.06	-0.487948	-0.469138
1.07	-0.48394	-0.463606
1.08	-0.479859	-0.458283
1.09	-0.475716	-0.453191
1.1	-0.471525	-0.44835
1.11	-0.467297	-0.443777
1.12	-0.463047	-0.439488
1.13	-0.458786	-0.435494
1.14	-0.454529	-0.431808
1.15	-0.450288	-0.428437
1.16	-0.446077	-0.425387
1.17	-0.44191	-0.422662
1.18	-0.437799	-0.420264
1.19	-0.433758	-0.418193
1.2	-0.429801	-0.416448
1.21	-0.42594	-0.415025
1.22	-0.422189	-0.413921
1.23	-0.418561	-0.413129
1.24	-0.415068	-0.412644
1.25	-0.411724	-0.412459
1.26	-0.40854	-0.412602
1.27	-0.405528	-0.413106
1.28	-0.402701	-0.413973
1.29	-0.400069	-0.415201
1.3	-0.397644	-0.416791
1.31	-0.395436	-0.418738
1.32	-0.393455	-0.42104
1.33	-0.391711	-0.42369
1.34	-0.390213	-0.426682
1.35	-0.38897	-0.430009
1.36	-0.387988	-0.433661
1.37	-0.387277	-0.437629
1.38	-0.386842	-0.441902
1.39	-0.386689	-0.446466
1.4	-0.386824	-0.45131
1.41	-0.387252	-0.456419
1.42	-0.387975	-0.461777
1.43	-0.388998	-0.467368
1.44	-0.390323	-0.473177
1.45	-0.391951	-0.479185
1.46	-0.393882	-0.485374
1.47	-0.396118	-0.491726
1.48	-0.398656	-0.49822
1.49	-0.401495	-0.504838
1.5	-0.404632	-0.511559
1.51	-0.408064	-0.518363
1.52	-0.411787	-0.525228
1.53	-0.415794	-0.532135
1.54	-0.420082	-0.539063
1.55	-0.424641	-0.54599
1.56	-0.429466	-0.552896
1.57	-0.434547	-0.559761
1.58	-0.439875	-0.566565
1.59	-0.44544	-0.573288
1.6	-0.451232	-0.57991
1.61	-0.457239	-0.586414
1.62	-0.463448	-0.592781
1.63	-0.469848	-0.598995
1.64	-0.476424	-0.605039
1.65	-0.483162	-0.610898
1.66	-0.490049	-0.616558
1.67	-0.497069	-0.622006
1.68	-0.504206	-0.627232
1.69	-0.511444	-0.632224
1.7	-0.518768	-0.636974
1.71	-0.526159	-0.641476
1.72	-0.533602	-0.645724
1.73	-0.541079	-0.649715
1.74	-0.548572	-0.653449
1.75	-0.556064	-0.656926
1.76	-0.563538	-0.66015
1.77	-0.570974	-0.663127
1.78	-0.578357	-0.665864
1.79	-0.585667	-0.668374
1.8	-0.592889	-0.670671
1.81	-0.600003	-0.672771
1.82	-0.606994	-0.674696
1.83	-0.613845	-0.676469
1.84	-0.62054	-0.678117
1.85	-0.627062	-0.679671
1.86	-0.633397	-0.681167
1.87	-0.63953	-0.682644
1.88	-0.645446	-0.684137
1.89	-0.651134	-0.685687
1.9	-0.65658	-0.687348
1.91	-0.661773	-0.689177
1.92	-0.666703	-0.691237
1.93	-0.67136	-0.693596
1.94	-0.675736	-0.696328
1.95	-0.679825	-0.699512
1.96	-0.68362	-0.703231
1.97	-0.687117	-0.707577
1.98	-0.690315	-0.712643
1.99	-0.693212	-0.718532
2	-0.695809	-0.725351
2.01	-0.698108	-0.733211
2.02	-0.700114	-0.74223
2.03	-0.701835	-0.752531
2.04	-0.703278	-0.764241
